circ_key,circ_qasm,N,dt,initial_guess,fidelity,latency,compile_time,circ_key_hash
"[[1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.
  0.71 0.  ]
 [0.   0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.
  0.   0.71]
 [0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71 0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.
  0.   0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_cx q0,q1,q2 { cx q0,q1; cx q2,q0; }
gate cx_cx_cx q0,q1,q2 { cx_cx q0,q1,q2; cx q1,q2; }
gate cx_cx_cx_t q0,q1,q2 { cx_cx_cx q0,q1,q2; t q1; }
gate cx_cx_cx_t_t q0,q1,q2 { cx_cx_cx_t q0,q1,q2; t q2; }
qreg q[3];
cx_cx_cx_t_t q[0],q[1],q[2];
",3,0.5,[],0.00099504,22.5,137.6514602,7c48e9e912fd9f907e6524ffeb2e37f8f0610cbf9df5de33efdd2a498db2d396
"[[ 0.71  0.    0.    0.71  0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.71  0.    0.   -0.71  0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.71  0.71  0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.71 -0.71  0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.5   0.    0.    0.5   0.    0.    0.    0.
   0.5   0.    0.    0.5 ]
 [ 0.    0.    0.    0.   -0.5   0.    0.    0.5   0.    0.    0.    0.
  -0.5   0.    0.    0.5 ]
 [ 0.    0.5   0.5   0.    0.    0.    0.    0.    0.    0.5   0.5   0.
   0.    0.    0.    0.  ]
 [ 0.   -0.5   0.5   0.    0.    0.    0.    0.    0.   -0.5   0.5   0.
   0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_cx_cx q0,q1,q2 { cx q0,q1; cx q2,q0; cx q1,q2; }
gate cx_cx_cx_t q0,q1,q2 { cx_cx_cx q0,q1,q2; t q2; }
gate cx_cx_cx_t_h q0,q1,q2 { cx_cx_cx_t q0,q1,q2; h q0; }
qreg q[3];
cx_cx_cx_t_h q[0],q[1],q[2];
",3,0.5,[],0.000998437,22.5,146.1291578,4ce22070a32e73b47ec2b0857ca1c24657258070d5d9c65d5d9d2b1bcdcfd1c0
"[[ 0.71  0.    0.    0.    0.    0.71  0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.71  0.    0.    0.71  0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.5   0.    0.    0.    0.   -0.5   0.    0.    0.5   0.    0.    0.
   0.   -0.5   0.    0.  ]
 [ 0.    0.    0.    0.5   0.    0.   -0.5   0.    0.    0.    0.    0.5
   0.    0.   -0.5   0.  ]
 [ 0.    0.    0.71  0.    0.    0.    0.    0.71  0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.    0.71  0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.   -0.5   0.    0.    0.    0.    0.5   0.    0.   -0.5   0.
   0.    0.    0.    0.5 ]
 [ 0.   -0.5   0.    0.    0.5   0.    0.    0.    0.   -0.5   0.    0.
   0.5   0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_cx q0,q1,q2 { cx q0,q1; cx q2,q0; }
gate cx_cx_cx q0,q1,q2 { cx_cx q0,q1,q2; cx q1,q2; }
gate cx_cx_cx_h q0,q1,q2 { cx_cx_cx q0,q1,q2; h q1; }
gate cx_cx_cx_h_t q0,q1,q2 { cx_cx_cx_h q0,q1,q2; t q1; }
qreg q[3];
cx_cx_cx_h_t q[0],q[1],q[2];
",3,0.5,[],0.00099349,19.5,225.5007565,d97f8fad57325bb8f30541941a397290d7eb718a2151f3f67822e175731cc6df
"[[ 1.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.71  0.    0.    0.    0.    0.    0.    0.   -0.71
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.71  0.    0.    0.    0.    0.
   0.    0.   -0.71  0.  ]
 [ 0.    0.    0.    0.    0.    1.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.71  0.    0.    0.    0.    0.    0.    0.
  -0.71  0.    0.    0.  ]
 [ 0.    0.71  0.    0.    0.    0.    0.    0.    0.   -0.71  0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate tdg_cx q0,q1 { tdg q0; cx q1,q0; }
gate tdg_cx_cx q0,q1,q2 { tdg_cx q0,q1; cx q1,q2; }
gate cx_tdg_cx_cx q0,q1,q2 { cx q0,q1; tdg_cx_cx q1,q2,q0; }
gate cx_cx_tdg_cx_cx q0,q1,q2 { cx q0,q1; cx_tdg_cx_cx q2,q0,q1; }
qreg q[3];
cx_cx_tdg_cx_cx q[0],q[1],q[2];
",3,0.5,[],0.000990152,27.5,181.3958826,0ef5fd4c082d6979e799c25c788d90fd8cb9aca7bfa118765b2a23680ea6e780
"[[-0.95  0.    0.    0.   -0.31  0.    0.    0.  ]
 [ 0.   -0.95  0.    0.    0.    0.31  0.    0.  ]
 [ 0.    0.   -0.95  0.    0.    0.    0.31  0.  ]
 [ 0.    0.    0.   -0.95  0.    0.    0.   -0.31]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_rz_cx q0,q1 { cx q0,q1; rz(5.654427) q1; cx q0,q1; }
qreg q[2];
cx_rz_cx q[0],q[1];
",2,0.5,[],0.00099194,14,50.55651617,2d98c7224c449df003c263810983091932e648cadd4f630e782c85c697bca1f8
"[[-0.38 -0.61  0.53  0.44]
 [ 0.61 -0.38  0.44 -0.53]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate rz_rx q0 { rz(-16.963312) q0; rx(1.7132487) q0; }
qreg q[1];
rz_rx q[0];
",1,0.5,[],0.000995755,3.5,10.42271471,67bdf852b7023337a130ddd1a35c4b7946c0cd742097e3a68aa7164ddec5c284
"[[-0.25  0.34 -0.4   0.4   0.35  0.46  0.29  0.29]
 [ 0.4  -0.4   0.34 -0.25  0.29  0.29  0.46  0.35]
 [ 0.4  -0.4  -0.25  0.34  0.29  0.29 -0.35 -0.46]
 [ 0.34 -0.25 -0.4   0.4  -0.46 -0.35  0.29  0.29]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate rz_rx q0 { rz(-16.963312) q0; rx(1.7132487) q0; }
gate cx_rx_rz_rx q0,q1 { cx q0,q1; rx(1.7132487) q0; rz_rx q1; }
qreg q[2];
cx_rx_rz_rx q[0],q[1];
",2,0.5,[],0.00099647,12.5,49.9540112,e72eb7d9f49d4799ac5cb09e6cc1060437d974dd1dac816cdf65072b835cf83b
"[[1.   0.   0.   0.  ]
 [0.   0.71 0.   0.71]]","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[1];
t q[0];
",1,0.5,[],0.000969172,1.5,6.509110451,fcb41cc47e0f8d7ccc1aa85cb1035e7ec2b683e6f54b084bb8a5d8eef110dec3
"[[0. 1. 0. 0.]
 [1. 0. 0. 0.]]","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[1];
x q[0];
",1,0.5,[],0.000858963,6.5,15.14040518,2f04f518b7ae2a8093d10d4b4cc28feb8ee8a1229176ca937f00f904765f4b9a
"[[ 0.71  0.71  0.    0.  ]
 [ 0.71 -0.71  0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[1];
h q[0];
",1,0.5,[],0.000782907,5,16.74291205,f30c4b9600a1aeb68220abdbb57a0c675d03e2ec060cb1019309b43ed8fd7b24
