circ,circ_hash,circ_key,ori_latency,merged_latency,grape_res,1q_count,2q_count
"     ┌───────────┐
q_0: ┤ RZ(1π/16) ├
     └───────────┘",5ee40b232ee49f326847b2f9654007cd22fdeaa6169dac8a82512bc2213945b1,"[[ 1.   0.  -0.1  0. ]
 [ 0.   1.   0.   0.1]]",1.5,1.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B4C7F1AC8>,1,0
"     ┌──────────────┐
q_0: ┤ RZ(-0.09815) ├
     └──────────────┘",a41015d0035b9fc06e38005d63e5db34d3426ef3f937a4381fda8edcc2698e32,"[[ 1.    0.    0.05  0.  ]
 [ 0.    1.    0.   -0.05]]",1.0,1.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B55016A08>,1,0
"          ┌───────────┐     ┌──────────────┐
q_0: ──■──┤ RZ(1π/16) ├──■──┤ RZ(-0.09815) ├
     ┌─┴─┐└───────────┘┌─┴─┐└──────────────┘
q_1: ┤ X ├─────────────┤ X ├────────────────
     └───┘             └───┘                ",819abe473cd21cb649ed40717c836b0c1ecfe4e2e6b857fac4e77c88d2e78f34,"[[ 1.    0.    0.    0.   -0.05  0.    0.    0.  ]
 [ 0.    1.    0.    0.    0.    0.05  0.    0.  ]
 [ 0.    0.    1.    0.    0.    0.   -0.05  0.  ]
 [ 0.    0.    0.    1.    0.    0.    0.    0.05]]",29.5,2.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B620497C8>,2,2
"     ┌─────────────┐
q_0: ┤ RZ(0.09815) ├
     └─────────────┘",530cd4be94fbe279c17bea0c23edb590f7aff260d716bbcf238e5cb0e5af2357,"[[ 1.    0.   -0.05  0.  ]
 [ 0.    1.    0.    0.05]]",2.5,2.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B677FD688>,1,0
"     ┌──────────────┐
q_0: ┤ RZ(-0.02455) ├
     └──────────────┘",f9cad15a24b6b01039af5bd36ad991980b837b47540bdcecf83cd3d65f7a3a52,"[[ 1.    0.    0.01  0.  ]
 [ 0.    1.    0.   -0.01]]",1.5,1.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B15C62488>,1,0
"          ┌────────────┐     ┌──────────────┐
q_0: ──■──┤ RZ(0.0491) ├──■──┤ RZ(-0.02455) ├
     ┌─┴─┐└────────────┘┌─┴─┐└──────────────┘
q_1: ┤ X ├──────────────┤ X ├────────────────
     └───┘              └───┘                ",07a7ab3eb307f2ba1f86c3c384ba2d493983ecfba27e1a8521013d572227d36c,"[[ 1.    0.    0.    0.   -0.01  0.    0.    0.  ]
 [ 0.    1.    0.    0.    0.    0.01  0.    0.  ]
 [ 0.    0.    1.    0.    0.    0.   -0.01  0.  ]
 [ 0.    0.    0.    1.    0.    0.    0.    0.01]]",29.5,2.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B16714F88>,2,2
"     ┌─────────────┐
q_0: ┤ RZ(0.02455) ├
     └─────────────┘",d5676da59a38ab3fcc83f03e7cca339eec817b70ab41922a80807fa503c78472,"[[ 1.    0.   -0.01  0.  ]
 [ 0.    1.    0.    0.01]]",1.0,1.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023A74120388>,1,0
"          ┌─────────────┐     ┌───┐
q_0: ──■──┤ RZ(0.02455) ├──■──┤ H ├
     ┌─┴─┐└─────────────┘┌─┴─┐└───┘
q_1: ┤ X ├───────────────┤ X ├─────
     └───┘               └───┘     ",04095c5488afc6601e2458227bb6e4a721c243a6cbd0cefe282ac57045b252bd,"[[ 0.71  0.71  0.    0.   -0.01  0.01  0.    0.  ]
 [ 0.71 -0.71  0.    0.   -0.01 -0.01  0.    0.  ]
 [ 0.    0.    0.71  0.71  0.    0.   -0.01  0.01]
 [ 0.    0.    0.71 -0.71  0.    0.   -0.01 -0.01]]",34.0,3.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B5AFA93C8>,2,2
"          ┌────────────┐     ┌───┐
q_0: ──■──┤ RZ(0.0491) ├──■──┤ H ├
     ┌─┴─┐└────────────┘┌─┴─┐└───┘
q_1: ┤ X ├──────────────┤ X ├─────
     └───┘              └───┘     ",0ba32cdd7ff8898d5ba8b2698fdab9ee7b4140b5ef612e673a8af2666ba01c78,"[[ 0.71  0.71  0.    0.   -0.02  0.02  0.    0.  ]
 [ 0.71 -0.71  0.    0.   -0.02 -0.02  0.    0.  ]
 [ 0.    0.    0.71  0.71  0.    0.   -0.02  0.02]
 [ 0.    0.    0.71 -0.71  0.    0.   -0.02 -0.02]]",34.0,5.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B6EBD9988>,2,2
"          ┌─────────────┐     ┌───┐
q_0: ──■──┤ RZ(0.09815) ├──■──┤ H ├
     ┌─┴─┐└─────────────┘┌─┴─┐└───┘
q_1: ┤ X ├───────────────┤ X ├─────
     └───┘               └───┘     ",15ee04d2cf79cafcd1ea41b21208642d54ea9823d426c090d613f440737dda9f,"[[ 0.71  0.71  0.    0.   -0.03  0.03  0.    0.  ]
 [ 0.71 -0.71  0.    0.   -0.03 -0.03  0.    0.  ]
 [ 0.    0.    0.71  0.71  0.    0.   -0.03  0.03]
 [ 0.    0.    0.71 -0.71  0.    0.   -0.03 -0.03]]",35.5,5.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B6EBD9A08>,2,2
"          ┌───────────┐     ┌───┐
q_0: ──■──┤ RZ(1π/16) ├──■──┤ H ├
     ┌─┴─┐└───────────┘┌─┴─┐└───┘
q_1: ┤ X ├─────────────┤ X ├─────
     └───┘             └───┘     ",0feefea42efdf49ea1e8b2062be432e583e94ba9eb43769121b8a4430355e951,"[[ 0.7   0.7   0.    0.   -0.07  0.07  0.    0.  ]
 [ 0.7  -0.7   0.    0.   -0.07 -0.07  0.    0.  ]
 [ 0.    0.    0.7   0.7   0.    0.   -0.07  0.07]
 [ 0.    0.    0.7  -0.7   0.    0.   -0.07 -0.07]]",34.5,5.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B54325DC8>,2,2
"          ┌──────────┐     ┌───┐
q_0: ──■──┤ RZ(1π/8) ├──■──┤ H ├
     ┌─┴─┐└──────────┘┌─┴─┐└───┘
q_1: ┤ X ├────────────┤ X ├─────
     └───┘            └───┘     ",9e78a71bb34ffd25ed6e7529bcaf178d5d5af46a0e91157b892304cbea35c4d2,"[[ 0.69  0.69  0.    0.   -0.14  0.14  0.    0.  ]
 [ 0.69 -0.69  0.    0.   -0.14 -0.14  0.    0.  ]
 [ 0.    0.    0.69  0.69  0.    0.   -0.14  0.14]
 [ 0.    0.    0.69 -0.69  0.    0.   -0.14 -0.14]]",34.5,4.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B79B51108>,2,2
"          ┌───┐     
q_0: ──■──┤ X ├─────
     ┌─┴─┐├───┤┌───┐
q_1: ┤ X ├┤ X ├┤ T ├
     └───┘└───┘└───┘",d4ef14c5151b7bd41e960a6e8c5deb4764137f3afd85f6feb8944239f3c040db,"[[0.   1.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]]",21.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B816D2D48>,2,1
"     ┌───┐     ┌───┐     
q_0: ┤ X ├──■──┤ T ├─────
     └───┘┌─┴─┐├───┤┌───┐
q_1: ─────┤ X ├┤ H ├┤ T ├
          └───┘└───┘└───┘",be683bccb883b1b7b76761e5397cfaf8ff346a7b965a6c4c239c45463b07a170,"[[ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.5   0.    0.5   0.    0.5   0.  ]
 [ 0.    0.5   0.   -0.5   0.    0.5   0.   -0.5 ]
 [ 0.    0.    0.    0.   -0.71  0.    0.71  0.  ]]",27.0,14.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B81EC0E88>,3,1
